               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11711,            0.073904,                   0,             0.13509,             0.10301,            0.067919,            0.017821,             0.11367,            0.089415,                   0,              0.0005,              0.0005,              0.0955
                   1,            0.096993,            0.059158,                   0,             0.23482,             0.16641,             0.10982,            0.028631,             0.10064,            0.070417,                   0,           0.0010098,           0.0010098,             0.09091
                   2,            0.092572,            0.062088,                   0,             0.40438,             0.22659,              0.1928,            0.057416,            0.094952,            0.074534,                   0,           0.0015187,           0.0015187,            0.086319
                   3,            0.088078,            0.057795,                   0,             0.43889,              0.2524,             0.22224,            0.060301,            0.088812,            0.072414,                   0,           0.0020259,           0.0020259,            0.081726
                   4,            0.085518,            0.056223,                   0,             0.59918,             0.33845,             0.35042,             0.12759,            0.080636,            0.070237,                   0,            0.002531,            0.002531,            0.077131
                   5,            0.085436,            0.056342,                   0,             0.53364,             0.34942,             0.35469,              0.1268,            0.082749,             0.05629,                   0,           0.0030331,           0.0030331,            0.072533
                   6,            0.085354,            0.058279,                   0,             0.59178,             0.34093,             0.35964,             0.11757,            0.081988,            0.060828,                   0,           0.0035316,           0.0035316,            0.067932
                   7,            0.083498,            0.055708,                   0,             0.61552,             0.38529,             0.41226,             0.16639,            0.074841,            0.061057,                   0,           0.0040259,           0.0040259,            0.063326
                   8,            0.080461,            0.050954,                   0,             0.65684,             0.39411,             0.42958,              0.1789,            0.073817,            0.068851,                   0,           0.0045152,           0.0045152,            0.058715
                   9,            0.082511,            0.055316,                   0,             0.65069,             0.38344,             0.42097,             0.16331,            0.075085,            0.057612,                   0,           0.0049991,           0.0049991,            0.054099
                  10,            0.079898,            0.054456,                   0,             0.43825,             0.23948,             0.22882,            0.083415,            0.091545,            0.069868,                   0,           0.0054767,           0.0054767,            0.049477
                  11,            0.078719,            0.051115,                   0,             0.66606,             0.40963,             0.44263,             0.18413,            0.072248,            0.068706,                   0,           0.0059475,           0.0059475,            0.044847
                  12,            0.079527,            0.052871,                   0,             0.70104,             0.43688,             0.47968,               0.203,            0.071733,            0.049722,                   0,           0.0064108,           0.0064108,            0.040211
                  13,            0.078163,            0.053905,                   0,             0.72055,             0.43097,             0.47827,             0.20744,            0.069715,            0.054304,                   0,           0.0068661,           0.0068661,            0.035566
                  14,            0.076265,            0.052739,                   0,             0.73679,             0.43501,             0.48148,             0.21128,            0.069909,            0.063812,                   0,           0.0073128,           0.0073128,            0.030913
                  15,            0.074993,            0.050848,                   0,             0.68981,             0.39085,             0.42554,             0.15396,            0.074425,            0.052221,                   0,           0.0077503,           0.0077503,             0.02625
                  16,            0.075596,            0.052557,                   0,             0.71362,              0.4372,             0.48632,             0.21171,            0.069797,            0.066173,                   0,            0.008178,            0.008178,            0.021578
                  17,            0.073642,            0.052124,                   0,             0.71454,             0.41666,             0.45524,             0.16923,            0.073118,            0.052429,                   0,           0.0085954,           0.0085954,            0.016895
                  18,            0.073786,            0.052621,                   0,             0.76751,             0.46931,             0.52469,             0.23155,            0.067517,            0.048483,                   0,           0.0090019,           0.0090019,            0.012202
                  19,            0.073046,            0.053286,                   0,             0.73872,             0.45586,             0.50127,             0.22771,            0.068283,            0.060271,                   0,           0.0092219,           0.0092219,           0.0092219
