               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080462,            0.050043,                   0,             0.84496,             0.62101,             0.69251,             0.32375,            0.066029,            0.046284,                   0,              0.0005,              0.0005,              0.0955
                   1,            0.070029,            0.044024,                   0,             0.85976,             0.65008,             0.71646,             0.34846,            0.059971,            0.045342,                   0,           0.0010098,           0.0010098,             0.09091
                   2,            0.072969,            0.041203,                   0,             0.87233,             0.64684,             0.72066,              0.3604,            0.057683,            0.044558,                   0,           0.0015187,           0.0015187,            0.086319
                   3,            0.068526,            0.044601,                   0,             0.75831,             0.60577,             0.67309,             0.33703,            0.070413,            0.043977,                   0,           0.0020259,           0.0020259,            0.081726
                   4,            0.071014,            0.043119,                   0,             0.78223,             0.60065,             0.67234,             0.33065,            0.067498,            0.044018,                   0,            0.002531,            0.002531,            0.077131
                   5,            0.070169,            0.044808,                   0,             0.77087,             0.63688,             0.67462,             0.31002,            0.062226,            0.045272,                   0,           0.0030331,           0.0030331,            0.072533
                   6,            0.069363,            0.042108,                   0,              0.8226,             0.64307,             0.69996,             0.34652,            0.060073,            0.044805,                   0,           0.0035316,           0.0035316,            0.067932
                   7,            0.067497,            0.041763,                   0,             0.74898,             0.60278,             0.67854,              0.3455,            0.061003,            0.044517,                   0,           0.0040259,           0.0040259,            0.063326
                   8,            0.067459,            0.041755,                   0,             0.83213,             0.64275,             0.70835,             0.35529,            0.059652,            0.044148,                   0,           0.0045152,           0.0045152,            0.058715
                   9,            0.065624,            0.043979,                   0,             0.69359,             0.60973,             0.65585,             0.33479,            0.063624,            0.044245,                   0,           0.0049991,           0.0049991,            0.054099
                  10,            0.065557,            0.043806,                   0,              0.8643,             0.63835,             0.71056,              0.3564,            0.058717,            0.043806,                   0,           0.0054767,           0.0054767,            0.049477
                  11,            0.063905,            0.042699,                   0,             0.85425,             0.61873,             0.69298,             0.35207,            0.058943,            0.045397,                   0,           0.0059475,           0.0059475,            0.044847
                  12,            0.065303,            0.044933,                   0,             0.80237,              0.6013,             0.67381,             0.33783,             0.06264,             0.04456,                   0,           0.0064108,           0.0064108,            0.040211
                  13,            0.063569,            0.042055,                   0,             0.84955,             0.60195,             0.68513,             0.33416,            0.061138,            0.044517,                   0,           0.0068661,           0.0068661,            0.035566
                  14,            0.064907,            0.044522,                   0,             0.86661,              0.5981,             0.68242,              0.3346,            0.059728,            0.046316,                   0,           0.0073128,           0.0073128,            0.030913
                  15,            0.061318,             0.04423,                   0,             0.83847,             0.61566,             0.68243,             0.33836,            0.058981,             0.04461,                   0,           0.0077503,           0.0077503,             0.02625
                  16,            0.061406,            0.044867,                   0,             0.86081,              0.6048,             0.68298,             0.33796,            0.058161,            0.044585,                   0,            0.008178,            0.008178,            0.021578
                  17,              0.0612,            0.044844,                   0,             0.84756,             0.62007,             0.68669,             0.34502,            0.057014,            0.044477,                   0,           0.0085954,           0.0085954,            0.016895
                  18,            0.060427,            0.046005,                   0,             0.83977,             0.61101,             0.67569,             0.33659,             0.05739,            0.045735,                   0,           0.0090019,           0.0090019,            0.012202
                  19,            0.060394,            0.047307,                   0,             0.83497,             0.60627,             0.67027,             0.33726,            0.057052,             0.04467,                   0,           0.0092219,           0.0092219,           0.0092219
                  20,            0.060949,            0.044866,                   0,             0.85253,             0.61641,             0.68153,             0.32869,            0.057173,            0.044555,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.060253,            0.046669,                   0,             0.85212,             0.61747,             0.68341,             0.34846,            0.056535,            0.043758,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.060648,            0.046515,                   0,             0.83729,             0.62907,             0.68708,             0.34805,            0.055684,            0.045017,                   0,           0.0090557,           0.0090557,           0.0090557
