               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12346,            0.045673,                   0,             0.18042,             0.15323,            0.069051,            0.014634,             0.12023,             0.09337,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.10396,            0.045843,                   0,             0.43316,             0.26375,             0.25174,            0.067173,            0.095403,             0.04998,                   0,           0.0010098,           0.0010098,             0.09091
                   2,            0.097417,              0.0479,                   0,             0.28466,             0.23802,              0.1401,            0.027018,            0.095013,            0.044896,                   0,           0.0015187,           0.0015187,            0.086319
                   3,            0.094414,            0.050866,                   0,             0.37586,             0.33291,             0.22802,              0.0615,            0.084185,            0.047724,                   0,           0.0020259,           0.0020259,            0.081726
                   4,            0.089524,            0.050178,                   0,             0.58977,             0.38169,             0.38403,             0.12387,            0.079859,            0.047254,                   0,            0.002531,            0.002531,            0.077131
                   5,            0.085881,            0.048126,                   0,             0.52749,             0.38686,             0.36104,             0.12253,            0.078933,            0.046454,                   0,           0.0030331,           0.0030331,            0.072533
                   6,            0.085527,            0.048865,                   0,             0.40731,             0.28875,             0.26836,            0.083364,            0.088734,            0.055077,                   0,           0.0035316,           0.0035316,            0.067932
                   7,            0.083104,            0.050098,                   0,             0.73439,             0.42571,             0.48371,             0.19723,            0.072447,            0.045764,                   0,           0.0040259,           0.0040259,            0.063326
                   8,            0.082044,            0.051574,                   0,              0.6266,             0.44178,             0.47753,             0.21853,             0.07262,             0.04616,                   0,           0.0045152,           0.0045152,            0.058715
                   9,            0.081631,            0.049405,                   0,             0.73234,             0.42859,              0.4741,             0.18869,            0.073545,            0.048918,                   0,           0.0049991,           0.0049991,            0.054099
                  10,            0.078237,            0.050117,                   0,             0.72246,             0.44468,             0.49711,             0.20328,             0.07167,            0.049767,                   0,           0.0054767,           0.0054767,            0.049477
                  11,            0.076263,            0.048224,                   0,              0.7067,             0.44146,             0.49392,             0.19615,            0.073052,            0.047628,                   0,           0.0059475,           0.0059475,            0.044847
                  12,            0.077087,            0.049755,                   0,             0.72495,             0.46886,             0.51989,             0.20755,            0.071506,            0.046326,                   0,           0.0064108,           0.0064108,            0.040211
                  13,            0.074083,            0.047886,                   0,               0.741,             0.47384,             0.52282,             0.22154,            0.067865,            0.046517,                   0,           0.0068661,           0.0068661,            0.035566
                  14,            0.075708,            0.048717,                   0,             0.74473,             0.48519,             0.53248,             0.22868,            0.068901,            0.049838,                   0,           0.0073128,           0.0073128,            0.030913
                  15,            0.071908,            0.047838,                   0,             0.71639,             0.46643,             0.51959,             0.21643,            0.069418,            0.046099,                   0,           0.0077503,           0.0077503,             0.02625
                  16,            0.071542,            0.048802,                   0,             0.76629,             0.48545,               0.541,               0.232,             0.06636,            0.045543,                   0,            0.008178,            0.008178,            0.021578
                  17,            0.071357,            0.048997,                   0,             0.77325,             0.49555,             0.55677,             0.25235,            0.065278,            0.047663,                   0,           0.0085954,           0.0085954,            0.016895
                  18,            0.069345,            0.048484,                   0,             0.79205,             0.49189,             0.56094,             0.26074,            0.065049,            0.047535,                   0,           0.0090019,           0.0090019,            0.012202
                  19,            0.068823,            0.048203,                   0,             0.77894,             0.47384,              0.5292,             0.23943,            0.066266,            0.046481,                   0,           0.0092219,           0.0092219,           0.0092219
                  20,            0.068778,            0.047487,                   0,             0.80186,             0.51731,             0.58134,             0.27154,            0.063615,            0.046104,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.067042,            0.047607,                   0,              0.7931,              0.4964,              0.5667,             0.25876,            0.064417,            0.047777,                   0,           0.0091406,           0.0091406,           0.0091406
