               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1216,            0.076497,                   0,           0.0018312,            0.034808,          0.00095471,          0.00022852,             0.11883,            0.083014,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11202,            0.054926,                   0,              0.1726,              0.1345,            0.068819,            0.015372,             0.10834,             0.05896,                   0,           0.0010099,           0.0010099,             0.09091
                   2,             0.10198,            0.062522,                   0,             0.28845,             0.19487,             0.12693,            0.029643,            0.098644,             0.11042,                   0,           0.0015194,           0.0015194,            0.086319
                   3,            0.096369,            0.056985,                   0,             0.41478,             0.25354,              0.2149,            0.061765,            0.089824,            0.073097,                   0,           0.0020282,           0.0020282,            0.081728
                   4,            0.094934,            0.058865,                   0,             0.42158,             0.25185,              0.2236,            0.062256,            0.089592,             0.11891,                   0,            0.002536,            0.002536,            0.077136
                   5,            0.091268,            0.057766,                   0,             0.52206,             0.29194,             0.28696,            0.097059,            0.084577,            0.099228,                   0,           0.0030425,           0.0030425,            0.072542
                   6,             0.09137,            0.055967,                   0,             0.53319,             0.28054,             0.28406,             0.09163,            0.093454,            0.074751,                   0,           0.0035474,           0.0035474,            0.067947
                   7,            0.089145,            0.057905,                   0,             0.50886,             0.29393,             0.28474,             0.10321,            0.086708,            0.090793,                   0,           0.0040504,           0.0040504,             0.06335
                   8,            0.087773,            0.054662,                   0,             0.60372,             0.31805,             0.34244,             0.12993,            0.079969,            0.080574,                   0,           0.0045511,           0.0045511,            0.058751
                   9,            0.086772,            0.055276,                   0,             0.56462,             0.30677,             0.32442,             0.10984,            0.080952,              0.0734,                   0,           0.0050494,           0.0050494,            0.054149
                  10,            0.084595,            0.057642,                   0,              0.5883,             0.35316,              0.3669,             0.13424,            0.078578,            0.069673,                   0,           0.0055449,           0.0055449,            0.049545
                  11,            0.083825,            0.056729,                   0,              0.5061,             0.31196,             0.31449,              0.1022,            0.082302,            0.071177,                   0,           0.0060374,           0.0060374,            0.044937
                  12,            0.084608,            0.054102,                   0,             0.60145,              0.3231,             0.35165,             0.12809,            0.082216,            0.058188,                   0,           0.0065264,           0.0065264,            0.040326
                  13,            0.080931,            0.051691,                   0,             0.65262,             0.37308,             0.40458,             0.16054,            0.076979,            0.061809,                   0,           0.0070118,           0.0070118,            0.035712
                  14,            0.081502,            0.053885,                   0,              0.6529,             0.39098,             0.42458,             0.17104,            0.075748,            0.051711,                   0,           0.0074933,           0.0074933,            0.031093
                  15,            0.079558,            0.052708,                   0,             0.59824,             0.34383,             0.36681,             0.13545,            0.080909,            0.056228,                   0,           0.0079705,           0.0079705,             0.02647
                  16,            0.078753,            0.052519,                   0,             0.69681,             0.39757,             0.43948,             0.17521,            0.074772,            0.053257,                   0,           0.0084432,           0.0084432,            0.021843
                  17,            0.081552,            0.054701,                   0,              0.6379,             0.34032,             0.37331,             0.14548,            0.081451,            0.056322,                   0,           0.0089112,           0.0089112,            0.017211
                  18,            0.078306,            0.056495,                   0,             0.68725,             0.38802,             0.42583,             0.16917,            0.074888,            0.053393,                   0,           0.0093741,           0.0093741,            0.012574
                  19,            0.078285,            0.055799,                   0,             0.64008,             0.38179,             0.40602,             0.17304,            0.073949,            0.056762,                   0,           0.0096484,           0.0096484,           0.0096484
                  20,            0.080078,            0.054695,                   0,             0.63293,             0.38362,             0.40617,             0.15491,            0.075236,            0.055431,                   0,           0.0096484,           0.0096484,           0.0096484
                  21,            0.077294,            0.051306,                   0,             0.74224,             0.40928,             0.46006,             0.19028,            0.072394,             0.05178,                   0,            0.009611,            0.009611,            0.009611
                  22,            0.076717,            0.056514,                   0,              0.6906,             0.37963,             0.42266,             0.17587,            0.076039,            0.053753,                   0,           0.0095717,           0.0095717,           0.0095717
                  23,            0.077292,            0.053958,                   0,             0.72968,             0.42644,             0.47594,             0.20489,            0.071504,            0.049548,                   0,           0.0095307,           0.0095307,           0.0095307
                  24,            0.076839,            0.052421,                   0,              0.7365,             0.40973,              0.4627,             0.19545,            0.073661,             0.05074,                   0,           0.0094879,           0.0094879,           0.0094879
                  25,            0.074127,            0.050521,                   0,             0.72942,             0.43028,             0.47779,             0.21214,            0.070525,             0.04948,                   0,           0.0094434,           0.0094434,           0.0094434
                  26,            0.076972,            0.053604,                   0,             0.69174,             0.41785,              0.4578,             0.19497,            0.072455,            0.051431,                   0,           0.0093971,           0.0093971,           0.0093971
                  27,             0.07489,            0.050989,                   0,             0.71388,             0.42232,             0.47436,             0.20238,            0.071574,             0.04975,                   0,           0.0093491,           0.0093491,           0.0093491
                  28,            0.074591,            0.052209,                   0,              0.7571,             0.44153,             0.49425,               0.218,            0.069454,            0.048924,                   0,           0.0092995,           0.0092995,           0.0092995
                  29,            0.074627,            0.053463,                   0,             0.74429,             0.39496,             0.45671,             0.20531,            0.072269,            0.053289,                   0,           0.0092481,           0.0092481,           0.0092481
                  30,            0.075947,            0.052754,                   0,             0.73734,             0.42151,             0.47528,             0.21253,            0.070188,            0.049726,                   0,           0.0091952,           0.0091952,           0.0091952
                  31,            0.074347,            0.052685,                   0,             0.75102,             0.45023,             0.50216,              0.2217,            0.069278,            0.049068,                   0,           0.0091406,           0.0091406,           0.0091406
                  32,            0.074808,            0.053986,                   0,             0.75074,             0.44209,             0.49826,             0.21292,            0.070325,            0.049446,                   0,           0.0090844,           0.0090844,           0.0090844
                  33,            0.075366,            0.051759,                   0,             0.77049,              0.4522,             0.50991,             0.22298,             0.06932,            0.047849,                   0,           0.0090266,           0.0090266,           0.0090266
                  34,            0.073456,            0.053558,                   0,             0.74078,             0.43841,             0.49187,             0.22258,            0.069312,            0.049175,                   0,           0.0089673,           0.0089673,           0.0089673
                  35,            0.075034,            0.055856,                   0,             0.78067,              0.4479,             0.50986,              0.2306,            0.068055,            0.047804,                   0,           0.0089065,           0.0089065,           0.0089065
                  36,            0.073258,            0.051976,                   0,             0.74234,             0.46054,             0.50916,             0.22974,            0.068705,            0.048735,                   0,           0.0088442,           0.0088442,           0.0088442
                  37,            0.072241,            0.050462,                   0,             0.76785,              0.4436,             0.50208,             0.22878,            0.068391,            0.048915,                   0,           0.0087804,           0.0087804,           0.0087804
                  38,            0.074217,            0.052828,                   0,             0.74714,             0.44676,             0.49252,             0.22121,             0.06945,             0.04912,                   0,           0.0087151,           0.0087151,           0.0087151
                  39,             0.07544,            0.052792,                   0,             0.77787,             0.43738,             0.48897,             0.22155,            0.069664,            0.050198,                   0,           0.0086485,           0.0086485,           0.0086485
                  40,            0.072931,            0.053812,                   0,             0.75772,             0.46067,             0.51536,             0.23041,            0.068234,            0.048349,                   0,           0.0085805,           0.0085805,           0.0085805
                  41,            0.074311,            0.051877,                   0,             0.78726,             0.45359,             0.51918,             0.23811,            0.068017,            0.047625,                   0,           0.0085111,           0.0085111,           0.0085111
                  42,            0.073539,            0.053632,                   0,             0.77534,             0.45609,             0.51479,             0.23616,            0.067941,            0.047586,                   0,           0.0084404,           0.0084404,           0.0084404
                  43,            0.074026,            0.053299,                   0,             0.75217,             0.45475,             0.51017,             0.23426,            0.067908,            0.048467,                   0,           0.0083684,           0.0083684,           0.0083684
                  44,            0.073917,            0.050435,                   0,             0.77731,             0.45495,             0.51984,             0.23219,            0.067949,            0.047906,                   0,           0.0082952,           0.0082952,           0.0082952
                  45,             0.07355,            0.051014,                   0,             0.76185,             0.45739,             0.51709,             0.23429,            0.067827,             0.04873,                   0,           0.0082207,           0.0082207,           0.0082207
                  46,            0.071684,             0.05081,                   0,             0.76286,             0.47179,             0.52655,             0.23527,            0.067573,            0.047562,                   0,            0.008145,            0.008145,            0.008145
                  47,            0.072164,            0.051052,                   0,              0.7864,             0.45703,             0.51731,             0.23515,            0.068269,            0.049379,                   0,           0.0080682,           0.0080682,           0.0080682
                  48,            0.075122,            0.053432,                   0,             0.76408,             0.44881,             0.50433,             0.22461,            0.070301,            0.049131,                   0,           0.0079903,           0.0079903,           0.0079903
                  49,            0.071796,             0.04936,                   0,             0.77176,             0.47242,             0.53043,             0.23785,             0.06724,            0.048115,                   0,           0.0079112,           0.0079112,           0.0079112
                  50,            0.072439,            0.050991,                   0,             0.76909,              0.4701,             0.52443,             0.23927,             0.06697,            0.047576,                   0,           0.0078311,           0.0078311,           0.0078311
                  51,            0.072811,            0.049822,                   0,             0.77308,             0.45748,             0.51359,             0.23542,            0.067816,            0.048664,                   0,             0.00775,             0.00775,             0.00775
                  52,            0.072504,            0.052287,                   0,             0.76924,              0.4747,             0.53019,               0.243,            0.066614,            0.047698,                   0,           0.0076679,           0.0076679,           0.0076679
                  53,            0.071827,            0.050816,                   0,             0.77747,             0.47417,             0.53036,             0.24452,            0.066176,            0.047514,                   0,           0.0075848,           0.0075848,           0.0075848
                  54,            0.073503,            0.052703,                   0,             0.77896,             0.46557,             0.52685,             0.24168,            0.066931,            0.047767,                   0,           0.0075009,           0.0075009,           0.0075009
                  55,             0.07147,            0.051091,                   0,             0.78369,             0.46787,             0.52902,             0.23832,            0.067698,            0.048114,                   0,            0.007416,            0.007416,            0.007416
                  56,            0.070413,            0.054753,                   0,             0.80123,              0.4618,             0.53405,             0.24515,            0.066727,            0.047812,                   0,           0.0073303,           0.0073303,           0.0073303
                  57,            0.071144,            0.051883,                   0,             0.77687,             0.46848,             0.52761,             0.24208,            0.067326,             0.04788,                   0,           0.0072438,           0.0072438,           0.0072438
                  58,            0.072358,              0.0533,                   0,             0.77812,             0.46651,             0.51947,             0.24072,            0.066977,            0.049024,                   0,           0.0071566,           0.0071566,           0.0071566
                  59,            0.069996,            0.054485,                   0,             0.79586,             0.46151,             0.53025,             0.24643,            0.066262,            0.047801,                   0,           0.0070686,           0.0070686,           0.0070686
                  60,            0.069653,            0.049332,                   0,             0.78778,             0.48165,              0.5396,             0.24784,            0.066579,            0.047012,                   0,           0.0069799,           0.0069799,           0.0069799
                  61,            0.071509,            0.049701,                   0,              0.7991,             0.46975,             0.53373,             0.24864,            0.066487,             0.04717,                   0,           0.0068906,           0.0068906,           0.0068906
