               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073987,            0.043594,                   0,             0.68192,             0.56893,             0.61197,             0.31827,            0.072895,            0.043033,                   0,              0.0005,              0.0005,              0.0955
                   1,            0.073211,            0.044109,                   0,             0.74561,             0.58803,             0.62034,             0.31447,            0.065229,            0.044175,                   0,           0.0010098,           0.0010098,             0.09091
                   2,            0.073711,            0.045576,                   0,              0.8473,             0.47716,             0.61026,             0.31123,            0.071522,            0.043483,                   0,           0.0015187,           0.0015187,            0.086319
                   3,            0.073103,             0.04685,                   0,             0.80426,             0.47791,             0.59765,             0.30523,             0.07254,            0.043555,                   0,           0.0020259,           0.0020259,            0.081726
                   4,            0.071878,            0.047301,                   0,             0.85422,             0.58261,             0.65572,             0.32236,            0.059399,            0.044241,                   0,            0.002531,            0.002531,            0.077131
                   5,            0.070753,            0.043591,                   0,             0.83402,             0.58223,             0.65117,              0.3195,            0.061754,            0.043729,                   0,           0.0030331,           0.0030331,            0.072533
                   6,             0.07195,            0.045007,                   0,             0.65649,              0.5703,              0.5976,             0.30461,            0.066955,            0.044815,                   0,           0.0035316,           0.0035316,            0.067932
                   7,            0.070172,            0.045366,                   0,             0.84576,             0.58495,              0.6547,             0.32527,            0.060908,            0.044283,                   0,           0.0040259,           0.0040259,            0.063326
                   8,            0.069803,            0.047833,                   0,             0.83137,             0.57563,             0.64528,             0.32181,            0.060524,            0.044554,                   0,           0.0045152,           0.0045152,            0.058715
                   9,            0.071673,            0.046432,                   0,             0.66248,             0.57623,             0.60779,             0.30643,            0.067252,            0.045437,                   0,           0.0049991,           0.0049991,            0.054099
                  10,            0.067784,            0.047138,                   0,             0.81629,             0.56671,             0.62751,             0.29607,            0.062375,            0.046793,                   0,           0.0054767,           0.0054767,            0.049477
                  11,            0.066641,            0.045026,                   0,             0.83908,             0.57257,             0.64111,             0.31781,            0.060706,             0.04492,                   0,           0.0059475,           0.0059475,            0.044847
                  12,            0.069001,            0.046783,                   0,             0.81896,             0.57257,              0.6302,             0.30242,              0.0607,            0.045138,                   0,           0.0064108,           0.0064108,            0.040211
                  13,            0.067272,            0.045231,                   0,             0.83069,             0.55907,             0.62825,             0.30789,            0.061919,            0.045156,                   0,           0.0068661,           0.0068661,            0.035566
                  14,            0.068667,            0.046927,                   0,             0.77828,             0.57578,             0.62373,             0.29857,            0.062756,            0.048178,                   0,           0.0073128,           0.0073128,            0.030913
                  15,            0.065809,             0.04654,                   0,             0.82877,             0.55853,             0.62678,             0.30983,            0.061013,             0.04551,                   0,           0.0077503,           0.0077503,             0.02625
                  16,            0.065701,            0.046954,                   0,             0.79249,             0.56163,             0.61721,             0.29097,            0.060819,            0.047349,                   0,            0.008178,            0.008178,            0.021578
                  17,            0.065645,            0.047573,                   0,             0.79298,             0.53031,             0.58622,             0.27537,            0.063449,             0.04815,                   0,           0.0085954,           0.0085954,            0.016895
                  18,            0.063718,            0.046971,                   0,             0.81974,             0.51004,             0.58809,             0.28973,            0.062331,             0.05118,                   0,           0.0090019,           0.0090019,            0.012202
                  19,            0.064146,            0.047564,                   0,             0.82064,             0.52164,              0.5931,             0.28457,            0.062125,            0.047004,                   0,           0.0092219,           0.0092219,           0.0092219
                  20,            0.064874,            0.046967,                   0,              0.7844,             0.53773,             0.59038,             0.28329,            0.061549,            0.052476,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.062891,            0.046568,                   0,             0.81253,             0.54791,              0.6131,             0.30423,            0.059895,            0.046263,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.065506,            0.050085,                   0,             0.82218,             0.54805,             0.61811,             0.30486,            0.060208,            0.045971,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,             0.06477,            0.046077,                   0,             0.82849,             0.54937,             0.61515,             0.29868,            0.059692,            0.045431,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,             0.06565,            0.050196,                   0,             0.80294,             0.56024,               0.617,             0.30159,            0.060004,            0.045266,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.063295,            0.047588,                   0,              0.8342,             0.55137,             0.61788,             0.30274,            0.059394,            0.045437,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.063348,             0.04699,                   0,             0.83825,             0.55192,             0.62723,             0.31125,            0.059377,            0.045579,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.063857,            0.046891,                   0,             0.83842,             0.55312,             0.61832,             0.30717,            0.059157,            0.044896,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,            0.064598,            0.046692,                   0,             0.83261,             0.55298,             0.61919,             0.30339,            0.059267,            0.044612,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,            0.062014,            0.046025,                   0,             0.84398,             0.55258,             0.62747,             0.31231,            0.059216,            0.045122,                   0,           0.0083684,           0.0083684,           0.0083684
                  30,            0.064194,            0.047946,                   0,              0.8338,             0.56282,             0.63168,              0.3144,            0.058649,            0.044951,                   0,           0.0082581,           0.0082581,           0.0082581
                  31,            0.061325,            0.043095,                   0,             0.83294,             0.56263,             0.63314,             0.31855,            0.058075,             0.04464,                   0,            0.008145,            0.008145,            0.008145
                  32,            0.063836,            0.047618,                   0,             0.84683,             0.55677,             0.62848,             0.31449,            0.058482,            0.044365,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.062492,            0.046636,                   0,             0.80966,             0.56914,             0.62687,             0.31241,            0.058728,            0.044929,                   0,           0.0079112,           0.0079112,           0.0079112
                  34,            0.060945,            0.045224,                   0,              0.8317,             0.57644,             0.64223,             0.32312,            0.058007,            0.044013,                   0,           0.0077907,           0.0077907,           0.0077907
                  35,            0.060735,            0.044142,                   0,             0.83186,             0.55404,              0.6259,              0.3047,            0.059624,            0.045663,                   0,           0.0076679,           0.0076679,           0.0076679
                  36,            0.061299,            0.044848,                   0,             0.85235,             0.56313,             0.63779,              0.3215,            0.057762,            0.043881,                   0,            0.007543,            0.007543,            0.007543
                  37,            0.062078,            0.047699,                   0,              0.8358,             0.57128,             0.64089,             0.31778,            0.058094,            0.043906,                   0,            0.007416,            0.007416,            0.007416
                  38,             0.06362,            0.046405,                   0,             0.83376,             0.57017,             0.63542,             0.31636,            0.058477,            0.044016,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.061857,            0.045593,                   0,             0.83528,               0.579,             0.64625,             0.32521,            0.057551,            0.043944,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.060731,            0.046236,                   0,             0.83295,             0.57616,             0.64482,             0.32046,            0.057882,            0.044207,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.062882,            0.046001,                   0,             0.84472,             0.57333,             0.64642,             0.32817,            0.057492,            0.044305,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,              0.0614,            0.047604,                   0,             0.85185,             0.57753,             0.64902,             0.32946,            0.057416,            0.043795,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.061044,            0.044825,                   0,             0.83783,             0.56787,             0.63994,             0.32052,            0.058007,             0.04489,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.062104,            0.048044,                   0,              0.8386,             0.57356,             0.64567,             0.32734,            0.058032,            0.044931,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.061692,            0.045538,                   0,             0.84792,             0.58109,             0.64972,             0.33285,            0.057147,            0.043625,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.060204,             0.04394,                   0,              0.8406,             0.57932,             0.65012,             0.33003,            0.057265,            0.043585,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.061428,            0.044778,                   0,             0.84049,             0.57755,             0.64599,             0.32659,            0.057442,            0.043766,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.062591,            0.045058,                   0,             0.83694,             0.57645,             0.64423,             0.32612,            0.057344,            0.044265,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.061211,            0.045716,                   0,              0.8359,             0.57492,             0.64279,             0.32506,            0.057331,            0.043717,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.062339,            0.046975,                   0,             0.84646,             0.57877,             0.64876,             0.33179,            0.057068,            0.043743,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,              0.0603,            0.041324,                   0,             0.83412,             0.58165,             0.64515,             0.32787,            0.057072,            0.043313,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.060948,            0.046177,                   0,             0.83503,             0.57778,             0.64837,             0.32954,            0.057139,            0.044087,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.060263,            0.043786,                   0,             0.84801,             0.58152,             0.65405,             0.33475,            0.056942,            0.044196,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,             0.05861,            0.044515,                   0,             0.84528,             0.57851,             0.65049,             0.33052,            0.057058,            0.044111,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.062059,            0.044361,                   0,             0.83792,             0.59032,             0.65199,             0.33101,            0.056877,            0.043447,                   0,            0.004936,            0.004936,            0.004936
                  56,             0.06073,            0.045383,                   0,             0.85022,             0.57975,             0.65193,             0.32894,            0.057045,            0.044315,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.060073,            0.045198,                   0,             0.83365,             0.59108,             0.65326,             0.33009,            0.056857,            0.043682,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.060434,            0.046824,                   0,             0.83088,             0.57513,              0.6455,             0.32416,            0.057647,            0.044896,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.061131,            0.046512,                   0,             0.83931,             0.58483,             0.65329,             0.33655,            0.056689,            0.043342,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.059468,            0.044359,                   0,              0.8477,             0.58552,             0.65846,             0.33742,            0.056628,            0.043976,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.061521,             0.04556,                   0,             0.84126,              0.5901,             0.65701,             0.33433,            0.056431,            0.043646,                   0,           0.0041094,           0.0041094,           0.0041094
