               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12625,            0.062728,                   0,           0.0016409,            0.037588,          0.00085152,          0.00020823,             0.11881,            0.064986,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11533,            0.062824,                   0,            0.018319,            0.024873,           0.0029466,          0.00065397,             0.11996,            0.073616,                   0,           0.0010098,           0.0010098,             0.09091
                   2,             0.10735,            0.055136,                   0,             0.11032,             0.13076,            0.040824,            0.009388,             0.10891,            0.071189,                   0,           0.0015187,           0.0015187,            0.086319
                   3,             0.10212,            0.053813,                   0,             0.19884,             0.22523,             0.10308,            0.023874,            0.099719,            0.056205,                   0,           0.0020259,           0.0020259,            0.081726
                   4,            0.097867,            0.053361,                   0,             0.16231,             0.25839,            0.073783,            0.017812,             0.10164,            0.077188,                   0,            0.002531,            0.002531,            0.077131
                   5,            0.095604,            0.053205,                   0,             0.35115,             0.29608,              0.2132,            0.054102,            0.091779,            0.054569,                   0,           0.0030331,           0.0030331,            0.072533
                   6,              0.0936,            0.055956,                   0,             0.33676,             0.30207,             0.19749,            0.054202,            0.087097,             0.11578,                   0,           0.0035316,           0.0035316,            0.067932
                   7,            0.089756,            0.053297,                   0,             0.42443,             0.31221,             0.27134,            0.082297,            0.085503,            0.065748,                   0,           0.0040259,           0.0040259,            0.063326
                   8,            0.087336,            0.050825,                   0,             0.44947,             0.33504,             0.28791,            0.091614,            0.083164,            0.055461,                   0,           0.0045152,           0.0045152,            0.058715
                   9,            0.087141,            0.051763,                   0,             0.55188,             0.36775,             0.36478,             0.12744,            0.078748,            0.052811,                   0,           0.0049991,           0.0049991,            0.054099
                  10,            0.085877,            0.055983,                   0,             0.63269,             0.36694,             0.38977,             0.14519,            0.078843,            0.068368,                   0,           0.0054767,           0.0054767,            0.049477
                  11,            0.082772,            0.056411,                   0,             0.66013,             0.37381,             0.40265,             0.13645,            0.077889,            0.051249,                   0,           0.0059475,           0.0059475,            0.044847
                  12,            0.082452,            0.053779,                   0,             0.66264,             0.41984,             0.43793,             0.16733,            0.075372,            0.052275,                   0,           0.0064108,           0.0064108,            0.040211
                  13,             0.08164,            0.053369,                   0,             0.71641,             0.43986,             0.48352,             0.18681,            0.072355,            0.049614,                   0,           0.0068661,           0.0068661,            0.035566
                  14,            0.078463,            0.051111,                   0,             0.69655,             0.43296,             0.46858,             0.18423,            0.072706,            0.052193,                   0,           0.0073128,           0.0073128,            0.030913
                  15,            0.077134,            0.051122,                   0,             0.62573,             0.35597,             0.38595,             0.15706,            0.076622,            0.056377,                   0,           0.0077503,           0.0077503,             0.02625
                  16,            0.081282,            0.055441,                   0,             0.62612,             0.35422,             0.35673,              0.1366,             0.07896,            0.057971,                   0,            0.008178,            0.008178,            0.021578
                  17,            0.077864,            0.052739,                   0,             0.70416,             0.41894,             0.45127,             0.19131,            0.071506,            0.055266,                   0,           0.0085954,           0.0085954,            0.016895
                  18,            0.075584,            0.052974,                   0,             0.74695,             0.42945,             0.48136,             0.19914,            0.070958,             0.05097,                   0,           0.0090019,           0.0090019,            0.012202
                  19,            0.073621,            0.052471,                   0,             0.75244,             0.46054,             0.51807,              0.2197,            0.068665,             0.04813,                   0,           0.0092219,           0.0092219,           0.0092219
                  20,            0.072513,            0.051589,                   0,             0.70263,             0.45656,              0.4927,              0.2145,            0.070414,            0.055086,                   0,           0.0092219,           0.0092219,           0.0092219
