               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094038,            0.060996,                   0,              0.2611,             0.27438,             0.13765,            0.044389,            0.075851,            0.056344,                   0,            0.070297,           0.0033003,           0.0033003
                   1,            0.072545,            0.057868,                   0,             0.46905,             0.36345,             0.32333,             0.10266,            0.064497,            0.052384,                   0,            0.040231,            0.006568,            0.006568
                   2,            0.063978,             0.05508,                   0,             0.49723,             0.37061,             0.30736,             0.10664,            0.062566,            0.051918,                   0,              0.0101,           0.0097697,           0.0097697
                   3,             0.05674,            0.057311,                   0,             0.70302,             0.43073,             0.47297,              0.1745,            0.057901,            0.056214,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.053695,            0.054128,                   0,             0.74501,             0.41968,             0.47226,             0.19916,            0.052569,            0.055633,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.052184,            0.056748,                   0,              0.7415,             0.47156,             0.51982,             0.23003,            0.049029,            0.055564,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.050024,            0.052378,                   0,              0.7618,             0.49424,             0.55017,             0.25268,            0.047547,            0.052408,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050238,            0.055252,                   0,             0.78335,             0.48685,             0.55591,             0.25241,            0.048166,            0.052441,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.048962,             0.05689,                   0,             0.75735,             0.44363,             0.50071,             0.22464,             0.04874,            0.054219,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048192,            0.052301,                   0,              0.7826,             0.51448,             0.58388,             0.27577,            0.045335,            0.051046,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.04873,            0.053757,                   0,              0.7944,             0.52103,             0.58438,             0.27697,            0.044485,            0.051869,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.047581,            0.054484,                   0,             0.80103,             0.53424,             0.59804,             0.28455,            0.044238,            0.050668,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.047611,            0.051209,                   0,             0.80014,             0.52996,             0.59388,             0.28819,            0.044273,            0.051588,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.046322,            0.052318,                   0,              0.8133,             0.52993,             0.59861,             0.29331,            0.043886,            0.049958,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.046529,             0.05336,                   0,             0.79813,             0.53543,             0.59917,             0.29161,            0.043623,            0.050942,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.046524,            0.051223,                   0,             0.81867,             0.53716,             0.60603,             0.29496,            0.043272,            0.049543,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.04531,            0.051997,                   0,             0.81918,             0.54548,             0.61448,               0.304,            0.042327,            0.048802,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.045181,            0.051752,                   0,             0.80923,             0.52471,             0.59232,             0.28591,            0.043982,            0.051372,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.045768,            0.051439,                   0,             0.82306,             0.53724,             0.60803,             0.30317,            0.042881,            0.049392,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.045541,            0.051352,                   0,             0.81688,             0.56116,             0.62872,             0.30822,            0.042374,            0.049054,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044513,            0.052059,                   0,             0.82426,             0.55014,             0.61441,             0.30404,            0.042192,            0.049201,                   0,            0.008119,            0.008119,            0.008119
