               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085157,            0.059433,                   0,              0.4827,              0.4036,             0.35179,             0.12627,            0.062076,            0.052429,                   0,            0.070149,           0.0033168,           0.0033168
                   1,            0.063143,            0.053804,                   0,             0.70936,             0.46445,             0.50006,             0.19561,            0.053005,             0.04787,                   0,            0.040083,           0.0065843,           0.0065843
                   2,            0.053611,            0.051517,                   0,             0.77893,             0.54297,             0.59697,             0.23867,            0.048503,            0.050238,                   0,           0.0099508,           0.0097858,           0.0097858
                   3,            0.048002,            0.051196,                   0,             0.80699,             0.58223,             0.64204,              0.2918,            0.044639,             0.04944,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.044278,            0.049519,                   0,             0.83064,             0.58866,             0.66213,             0.32008,            0.041699,            0.045888,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.042101,            0.047739,                   0,             0.84407,             0.60504,             0.67926,             0.34287,            0.040083,            0.045173,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041308,            0.047487,                   0,             0.84823,             0.60546,             0.67798,             0.34399,            0.039656,            0.044826,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041035,            0.047887,                   0,             0.83976,             0.59188,             0.66753,              0.3358,            0.039599,            0.044512,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.04016,             0.04706,                   0,             0.85268,             0.61157,             0.68779,             0.35899,             0.03844,            0.044556,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039661,            0.045997,                   0,             0.85169,             0.62851,             0.69949,              0.3616,            0.038154,             0.04371,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039485,            0.046329,                   0,             0.86016,             0.62497,             0.70252,             0.36116,            0.038209,            0.044083,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038879,            0.045839,                   0,             0.86099,               0.643,             0.71652,               0.375,            0.037304,            0.043251,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.038773,            0.045546,                   0,             0.86288,             0.64427,             0.71628,             0.37912,            0.036981,            0.043364,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.038484,            0.046218,                   0,             0.86614,             0.63907,             0.71641,             0.37948,            0.036892,             0.04318,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03841,            0.046068,                   0,             0.86448,             0.64055,             0.71502,             0.37487,            0.037053,            0.043319,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038444,              0.0455,                   0,             0.86662,              0.6372,             0.71628,             0.38222,            0.036904,             0.04346,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.038047,            0.045505,                   0,             0.86617,             0.64645,             0.72142,             0.38311,            0.036618,            0.042781,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.03784,            0.044058,                   0,             0.86504,             0.64509,             0.72202,             0.38644,            0.036389,            0.042803,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.037508,            0.044966,                   0,             0.85776,             0.64751,             0.71946,             0.38377,            0.036469,            0.043054,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.037574,            0.044591,                   0,             0.87244,             0.64336,             0.72141,             0.38576,            0.036581,             0.04303,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.03733,             0.04435,                   0,             0.86894,             0.65571,             0.72967,             0.39041,            0.036152,            0.042629,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.03704,            0.045023,                   0,             0.87115,             0.65047,             0.72786,             0.39165,            0.036257,            0.042672,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.037425,            0.044848,                   0,             0.86935,              0.6492,             0.72367,              0.3871,            0.036177,             0.04298,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.036629,            0.044166,                   0,             0.86748,             0.65318,             0.72816,             0.38791,            0.036136,            0.042467,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.036746,            0.044481,                   0,             0.86662,             0.65568,             0.73056,             0.39279,            0.035794,            0.042394,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.036662,             0.04328,                   0,             0.87175,              0.6601,             0.73412,             0.39334,            0.035816,            0.042295,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.036666,            0.043701,                   0,             0.87432,             0.65603,             0.73546,             0.39579,            0.035726,            0.042224,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.036636,            0.043347,                   0,             0.86992,             0.66211,             0.73512,             0.39288,            0.035806,            0.042264,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.036578,            0.044422,                   0,             0.87104,             0.66905,             0.74254,             0.40139,            0.035354,            0.041947,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.036133,            0.043287,                   0,             0.86964,             0.66336,             0.73741,             0.39839,            0.035546,             0.04215,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.036047,            0.043705,                   0,             0.86555,             0.66488,             0.73481,             0.39418,            0.035544,            0.042029,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.036029,            0.043337,                   0,             0.87166,             0.66273,             0.73921,             0.39867,            0.035534,            0.042264,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.03596,            0.043052,                   0,             0.87286,             0.66488,             0.74147,             0.39969,            0.035453,            0.041923,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.036139,            0.043456,                   0,             0.87142,             0.66998,             0.74303,             0.40042,            0.035427,            0.042011,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.036012,            0.043125,                   0,             0.87253,             0.66987,             0.74385,             0.40263,            0.035225,              0.0419,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.035937,            0.043258,                   0,             0.86868,             0.66991,             0.74368,             0.40252,            0.035246,            0.042017,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.03594,            0.043911,                   0,             0.86937,             0.67049,             0.74373,             0.40267,            0.035263,             0.04204,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.035855,            0.043017,                   0,             0.87439,             0.66747,             0.74437,              0.4032,            0.035219,            0.041984,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.035311,            0.042841,                   0,               0.876,             0.66715,             0.74404,             0.40414,            0.035075,            0.041885,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.035624,            0.042965,                   0,             0.87214,             0.67135,             0.74544,             0.40415,            0.035105,            0.041871,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.035285,            0.042209,                   0,             0.87405,              0.6705,             0.74548,             0.40476,            0.035061,            0.041984,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035365,            0.043436,                   0,             0.87194,             0.67335,             0.74689,             0.40565,            0.035028,            0.041648,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.035294,            0.042772,                   0,             0.87296,             0.67647,             0.74874,              0.4065,            0.034923,            0.041846,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.034952,            0.042733,                   0,             0.87048,             0.67825,             0.74969,             0.40755,            0.034956,            0.041776,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.034811,            0.041607,                   0,             0.87608,             0.67412,             0.74954,             0.40676,            0.034971,            0.041781,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.035172,            0.042675,                   0,             0.87331,             0.67738,             0.75077,             0.40795,            0.034935,            0.041796,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.034882,            0.041938,                   0,             0.87481,             0.67828,             0.75056,             0.40744,            0.034994,            0.041835,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.034969,            0.042414,                   0,             0.87513,             0.67564,             0.74974,             0.40738,            0.034938,            0.041835,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.034823,            0.041957,                   0,             0.87329,             0.67942,             0.75057,             0.40838,            0.034877,            0.041659,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.034809,             0.04242,                   0,             0.87139,             0.68083,             0.75178,             0.40934,            0.034839,            0.041757,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.034719,            0.041832,                   0,               0.874,              0.6773,             0.75091,             0.40933,            0.034802,            0.041814,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.034202,            0.041461,                   0,             0.87104,             0.67834,             0.75022,             0.40815,            0.034836,            0.041862,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.034113,            0.041928,                   0,             0.87555,              0.6771,              0.7514,              0.4088,            0.034829,             0.04178,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.034348,            0.041218,                   0,             0.87544,             0.67829,             0.75229,             0.40913,            0.034837,            0.041808,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.034195,             0.04081,                   0,             0.87358,             0.68118,             0.75316,             0.40942,            0.034846,            0.041719,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.033881,            0.041682,                   0,             0.87502,             0.68018,              0.7532,              0.4101,             0.03483,            0.041762,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.033777,            0.041309,                   0,             0.87567,             0.68197,             0.75389,              0.4109,            0.034779,            0.041726,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03389,            0.040492,                   0,             0.87519,             0.68108,             0.75397,             0.41084,            0.034782,            0.041699,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.034005,            0.040726,                   0,             0.87649,             0.68106,             0.75446,             0.41127,            0.034778,            0.041746,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.033667,            0.040997,                   0,             0.87386,             0.68184,             0.75361,             0.41066,            0.034783,            0.041781,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.033484,            0.041352,                   0,             0.87378,             0.68134,             0.75374,             0.41118,            0.034746,            0.041859,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.033401,            0.040869,                   0,             0.87564,              0.6808,             0.75462,              0.4115,            0.034714,            0.041859,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.033331,            0.040408,                   0,             0.87574,             0.68195,             0.75504,             0.41132,            0.034702,            0.041875,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.03351,            0.040533,                   0,             0.87442,             0.68275,             0.75503,             0.41134,            0.034699,            0.041904,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.033313,            0.039396,                   0,             0.87717,             0.68201,             0.75498,              0.4115,            0.034713,             0.04194,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.033305,            0.040004,                   0,             0.87564,             0.68221,             0.75463,              0.4117,            0.034719,             0.04196,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.033203,            0.040354,                   0,             0.87781,             0.68176,             0.75503,             0.41183,            0.034729,            0.041982,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.033136,            0.040154,                   0,             0.87739,             0.68244,             0.75569,             0.41247,            0.034717,            0.042019,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.032863,            0.039503,                   0,             0.87789,             0.68141,             0.75573,             0.41224,            0.034728,            0.042066,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.03316,            0.040295,                   0,             0.87722,             0.68151,             0.75511,             0.41223,            0.034741,            0.042108,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.032733,            0.039125,                   0,              0.8772,             0.68176,             0.75544,             0.41213,             0.03475,            0.042132,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.032681,            0.039627,                   0,             0.87615,             0.68224,             0.75563,             0.41246,             0.03475,            0.042137,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.032445,            0.039653,                   0,             0.87735,             0.68302,             0.75634,             0.41241,            0.034751,            0.042164,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.032579,            0.039887,                   0,             0.87848,             0.68202,             0.75667,              0.4126,            0.034751,            0.042169,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.032724,            0.039991,                   0,             0.87789,             0.68316,              0.7568,             0.41259,            0.034747,            0.042161,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.032474,            0.039834,                   0,             0.87882,             0.68242,             0.75677,             0.41246,            0.034755,            0.042186,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.032504,            0.039535,                   0,              0.8784,             0.68265,              0.7574,             0.41289,            0.034758,            0.042208,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.032329,            0.039194,                   0,             0.87923,             0.68227,             0.75665,             0.41294,            0.034763,             0.04224,                   0,            0.002476,            0.002476,            0.002476
